CategorieSocioPro;Demande;Raison;Index
Exploitants agricoles;Promotion de l'égalité salariale entre hommes et femmes;Il existe encore un écart salarial important entre les sexes.;1
Exploitants agricoles;Simplification des démarches administratives;Les formalités sont trop complexes et nous font perdre un temps précieux.;2
Exploitants agricoles;Augmentation des salaires minimum;Le coût de la vie augmente, nous ne pouvons plus joindre les deux bouts.;3
Exploitants agricoles;Formation continue pour les techniciens;Nous avons besoin de mise à jour régulière des compétences pour ne pas être dépassés.;4
Exploitants agricoles;Réduction des frais médicaux;Les dépenses de santé sont difficiles à supporter pour les familles modestes.;5
Exploitants agricoles;Promotion du télétravail;Le télétravail permet de mieux concilier vie professionnelle et personnelle, et devrait être plus largement accessible.;6
Exploitants agricoles;Accès à des soins de santé mentale;Les services de santé mentale sont débordés et beaucoup ne peuvent pas obtenir l'aide dont ils ont besoin.;7
Exploitants agricoles;Réduction des délais d'attente pour les soins médicaux;Les patients doivent attendre trop longtemps pour obtenir des soins de qualité.;8
Exploitants agricoles;Promotion de l'égalité salariale entre hommes et femmes;Il existe encore un écart salarial important entre les sexes.;9
Exploitants agricoles;Formation continue pour les techniciens;Nous avons besoin de mise à jour régulière des compétences pour ne pas être dépassés.;10
Artisans;Amélioration des conditions de travail pour les enseignants;Les enseignants sont surchargés et manquent de ressources, ce qui affecte la qualité de l'enseignement.;1
Artisans;Amélioration des services de garde d'enfants;Les places en crèche sont insuffisantes, ce qui complique la vie des parents qui travaillent.;2
Artisans;Reconnaissance des compétences des contremaîtres;Notre rôle est crucial mais souvent sous-estimé.;3
Artisans;Amélioration des conditions de travail;Les conditions actuelles sont épuisantes, nous ne pouvons pas continuer ainsi.;4
Artisans;Augmentation des pensions d'invalidité;Les personnes handicapées ne reçoivent pas assez de soutien financier, ce qui les laisse souvent dans des situations très difficiles.;5
Artisans;Simplification des démarches administratives;Les formalités sont trop complexes et nous font perdre un temps précieux.;6
Artisans;Promotion de la diversité culturelle;Il est important de valoriser la richesse culturelle de notre pays pour éviter que certaines communautés ne se sentent exclues.;7
Artisans;Création d'emplois et formations;Nous avons besoin d'opportunités pour sortir du chômage.;8
Artisans;Reconnaissance des compétences des contremaîtres;Notre rôle est crucial mais souvent sous-estimé.;9
Artisans;Renforcement de la lutte contre la discrimination au travail;Les inégalités de traitement persistent malgré les lois existantes.;10
Artisans;Amélioration des infrastructures routières;Les routes sont dangereuses, c'est un risque quotidien pour nous.;11
Artisans;Soutien à l'innovation entrepreneuriale;Les startups ont besoin de plus de financement pour se développer.;12
Artisans;Simplification des démarches administratives;Les formalités sont trop complexes et nous font perdre un temps précieux.;13
Artisans;Amélioration des conditions de travail;Les conditions actuelles sont épuisantes, nous ne pouvons pas continuer ainsi.;14
Artisans;Soutien aux travailleurs indépendants;Les charges sociales et fiscales sont trop lourdes pour les auto-entrepreneurs.;15
Artisans;Augmentation des aides sociales;Les aides actuelles ne suffisent pas à couvrir les besoins essentiels des plus démunis, ce qui complique énormément leur quotidien.;16
Artisans;Création de logements sociaux;Il y a une pénurie de logements abordables pour les familles à faible revenu.;17
Artisans;Soutien aux petits commerces;La concurrence des grandes surfaces est écrasante, nous ne survivrons pas longtemps.;18
Artisans;Promotion de l'égalité salariale entre hommes et femmes;Il existe encore un écart salarial important entre les sexes.;19
Artisans;Réduction des inégalités d'accès à la technologie;Tout le monde doit pouvoir bénéficier des avancées technologiques pour ne pas être laissé de côté.;20
Commerçants et assimilés;Augmentation des pensions de retraite;Le coût de la vie augmente, notre pension ne suffit plus.;1
Commerçants et assimilés;Simplification des démarches administratives;Les formalités sont trop complexes et nous font perdre un temps précieux.;2
Commerçants et assimilés;Soutien à l'innovation entrepreneuriale;Les startups ont besoin de plus de financement pour se développer.;3
Commerçants et assimilés;Réduction des taxes agricoles;Les coûts de production sont trop élevés et les marges trop faibles pour survivre.;4
