CategorieSocioPro;Demande;Raison;Index
Commerçants et assimilés;Soutien à l'innovation entrepreneuriale;Les startups ont besoin de plus de financement pour se développer.;1
Cadres de la fonction publique;Réduction des inégalités d'accès à la technologie;Tout le monde doit pouvoir bénéficier des avancées technologiques pour ne pas être laissé de côté.;2
Cadres de la fonction publique;Promotion de la diversité culturelle;Il est important de valoriser la richesse culturelle de notre pays pour éviter que certaines communautés ne se sentent exclues.;3
Cadres de la fonction publique;Soutien aux petits commerces;La concurrence des grandes surfaces est écrasante, nous ne survivrons pas longtemps.;4
Employés civils et agents de service de la fonction publique;Investissements dans l'innovation technologique;Nous devons rester compétitifs au niveau mondial, sinon nous serons dépassés.;5
Employés administratifs d'entreprise;Augmentation des effectifs de police;Les équipes sont en sous-effectif, c'est stressant et dangereux.;6
Employés administratifs d'entreprise;Augmentation des allocations familiales;Les coûts liés à l'éducation des enfants sont de plus en plus élevés.;7
Employés administratifs d'entreprise;Révision des honoraires des professions libérales;Les tarifs actuels ne nous permettent plus de vivre correctement.;8
Employés administratifs d'entreprise;Renforcement de la lutte contre la discrimination au travail;Les inégalités de traitement persistent malgré les lois existantes.;9
Employés de commerce;Formation continue pour les techniciens;Nous avons besoin de mise à jour régulière des compétences pour ne pas être dépassés.;10
Ouvriers qualifiés;Réduction des délais d'attente pour les soins médicaux;Les patients doivent attendre trop longtemps pour obtenir des soins de qualité.;11
Ouvriers qualifiés;Augmentation des salaires minimum;Le coût de la vie augmente, nous ne pouvons plus joindre les deux bouts.;12
Ouvriers qualifiés;Réduction des frais médicaux;Les dépenses de santé sont difficiles à supporter pour les familles modestes.;13
Ouvriers non qualifiés;Soutien à la transition énergétique;Nous devons réduire notre dépendance aux énergies fossiles pour un avenir plus durable.;14
Retraités;Reconnaissance des compétences des contremaîtres;Notre rôle est crucial mais souvent sous-estimé.;15
Retraités;Amélioration des services de garde d'enfants;Les places en crèche sont insuffisantes, ce qui complique la vie des parents qui travaillent.;16
Retraités;Développement des transports publics;Les transports en commun sont insuffisants et mal desservis dans les zones rurales.;17
Retraités;Réduction des frais de scolarité;L'éducation doit être accessible à tous, c'est crucial pour l'avenir.;18
Retraités;Investissements dans l'innovation technologique;Nous devons rester compétitifs au niveau mondial, sinon nous serons dépassés.;19
Retraités;Soutien aux familles monoparentales;Les parents seuls ont du mal à concilier vie professionnelle et vie familiale.;20
Chômeurs;Soutien à l'innovation entrepreneuriale;Les startups ont besoin de plus de financement pour se développer.;21
Etudiants;Soutien aux jeunes entrepreneurs;Les jeunes ont des idées innovantes mais manquent de moyens pour les réaliser, ce qui freine leur potentiel.;22
